2024-01-15 19:20:09,402 [INFO] [tic_tac_toe.tic_tac_toe_interactive] raul plays with O and jorge plays with X
2024-01-15 19:20:09,403 [INFO] [tic_tac_toe.tic_tac_toe_interactive] jorge starts

2024-01-15 19:20:09,694 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans-Oblique.ttf', name='DejaVu Sans', style='oblique', variant='normal', weight=400, stretch='normal', size='scalable')) = 1.05
2024-01-15 19:20:09,694 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralItalic.ttf', name='STIXGeneral', style='italic', variant='normal', weight=400, stretch='normal', size='scalable')) = 11.05
2024-01-15 19:20:09,694 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymReg.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,694 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmsy10.ttf', name='cmsy10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,694 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneral.ttf', name='STIXGeneral', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,694 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/cmex10.ttf', name='cmex10', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,694 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizFourSymBol.ttf', name='STIXSizeFourSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-01-15 19:20:09,694 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXGeneralBolIta.ttf', name='STIXGeneral', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-01-15 19:20:09,695 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/home/raul/.local/lib/python3.10/site-packages/matplotlib/mpl-data/fonts/ttf/STIXSizTwoSymBol.ttf', name='STIXSizeTwoSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-01-15 19:20:09,695 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/usr/share/fonts/truetype/adf/GilliusADF-Regular.otf', name='Gillius ADF', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,695 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/usr/share/fonts/truetype/tlwg/TlwgTypist.ttf', name='Tlwg Typist', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2024-01-15 19:20:09,695 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/usr/share/fonts/truetype/solomos/GFSSolomos.otf', name='GFS Solomos', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,695 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/usr/share/texmf/fonts/opentype/public/lm/lmroman10-regular.otf', name='Latin Modern Roman', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,695 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/usr/share/texmf/fonts/opentype/public/tex-gyre/texgyrechorus-mediumitalic.otf', name='TeX Gyre Chorus', style='normal', variant='normal', weight=500, stretch='normal', size='scalable')) = 10.145
2024-01-15 19:20:09,695 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/usr/share/fonts/opentype/linux-libertine/LinLibertine_RB.otf', name='Linux Libertine O', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-01-15 19:20:09,695 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/usr/share/fonts/truetype/crosextra/Caladea-BoldItalic.ttf', name='Caladea', style='italic', variant='normal', weight=700, stretch='normal', size='scalable')) = 11.335
2024-01-15 19:20:09,695 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/usr/share/fonts/truetype/fonts-telu-extra/vemana2000.ttf', name='Vemana2000', style='normal', variant='normal', weight=400, stretch='normal', size='scalable')) = 10.05
2024-01-15 19:20:09,695 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/usr/share/fonts/opentype/stix/STIXSizeThreeSym-Bold.otf', name='STIXSizeThreeSym', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-01-15 19:20:09,696 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/usr/share/fonts/truetype/dejavu/DejaVuSerif-Bold.ttf', name='DejaVu Serif', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
2024-01-15 19:20:09,696 [DEBUG] [matplotlib.font_manager] findfont: score(FontEntry(fname='/usr/share/fonts/truetype/noto/NotoSansBengali-Bold.ttf', name='Noto Sans Bengali', style='normal', variant='normal', weight=700, stretch='normal', size='scalable')) = 10.335
